review_group,case_directories,asset_count,formats,manifest_schemas,figure_modes,style_profiles,proposed_classifications,assets_with_repository_references,repository_reference_count,proposed_action,manual_questions
data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/T200,data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/T200,1,png,,,,legacy_unregistered,1,1,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/T250,data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/T250,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/combined,data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/combined,7,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/param_scan/T190_hybrid_threshold,data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/param_scan/T190_hybrid_threshold,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/param_scan/T190_hybrid_threshold_gated_v2,data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/param_scan/T190_hybrid_threshold_gated_v2,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/param_scan/T200_hybrid_threshold,data/outputs/figures/relaxtime/fixed_temperature_xi_scan_muB0/param_scan/T200_hybrid_threshold,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/gap_transport_by_xi_muB0p0,data/outputs/figures/relaxtime/gap_transport_by_xi_muB0p0,2,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/gap_transport_by_xi_muB800,data/outputs/figures/relaxtime/gap_transport_by_xi_muB800,2,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/literature,data/outputs/figures/relaxtime/literature,5,png,,,,legacy_unregistered,4,5,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/meson_density/combined_tmu_mu0_temperature_scan,data/outputs/figures/relaxtime/meson_density/combined_tmu_mu0_temperature_scan,2,png; svg,,,,legacy_manifest,2,3,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/meson_density/fig3_like_tmu_equal_flavor_folded_highres,data/outputs/figures/relaxtime/meson_density/fig3_like_tmu_equal_flavor_folded_highres,2,png; svg,,,,legacy_manifest,2,4,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/meson_density/plot_review/freezeout_kminus_piminus_mu_pi_100,data/outputs/figures/relaxtime/meson_density/plot_review/freezeout_kminus_piminus_mu_pi_100,2,png,,,,legacy_manifest,2,8,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/meson_density/trho_asymmetric_kplus_piplus_scan_v1,data/outputs/figures/relaxtime/meson_density/trho_asymmetric_kplus_piplus_scan_v1,2,png; svg,,,,legacy_manifest,2,7,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/meson_density/trho_asymmetric_kplus_piplus_scan_v1/convergence/convergence_low,data/outputs/figures/relaxtime/meson_density/trho_asymmetric_kplus_piplus_scan_v1/convergence/convergence_low,1,svg,,,,legacy_manifest,1,1,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/meson_mass/path_scan/freezeout,data/outputs/figures/relaxtime/meson_mass/path_scan/freezeout,3,png,meson_mass_path_scan_plot_manifest_v1,,,legacy_manifest,3,6,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/mott_phase/reference_100_300_fine/mode_a,data/outputs/figures/relaxtime/mott_phase/reference_100_300_fine/mode_a,5,png,,,,legacy_unregistered,5,11,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/mott_phase/reference_100_300_fine/mode_ab,data/outputs/figures/relaxtime/mott_phase/reference_100_300_fine/mode_ab,4,png,,,,legacy_unregistered,4,22,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/mott_phase/reference_100_300_fine/mode_b,data/outputs/figures/relaxtime/mott_phase/reference_100_300_fine/mode_b,6,png,,,,legacy_unregistered,4,5,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/paper_p1_mott_phase_isentropic/production_20260531,data/outputs/figures/relaxtime/paper_p1_mott_phase_isentropic/production_20260531,5,png,paper_p1_assets_v1,,,legacy_manifest,3,5,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/temperature_scan_muB0_xi0,data/outputs/figures/relaxtime/temperature_scan_muB0_xi0,5,png,,,,legacy_unregistered,1,1,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_validated_anchored_prod_v1,24,png,v1,,,legacy_manifest,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi001_validated_anchored_prod_v1,36,png,v1,,,legacy_manifest,36,36,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,36,png,v2,,,legacy_manifest,36,36,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_validated_anchored_prod_v1,24,png,v1,,,legacy_manifest,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi001_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v1_p128_xi001_validated_anchored_prod_v1,36,png,v1,,,legacy_manifest,36,36,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,data/outputs/figures/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v1,36,png,v2,,,legacy_manifest,36,36,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/validation,data/outputs/figures/relaxtime/validation,1,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S001,data/outputs/figures/relaxtime/xi_smoothness_sampling/S001,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S002,data/outputs/figures/relaxtime/xi_smoothness_sampling/S002,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S003,data/outputs/figures/relaxtime/xi_smoothness_sampling/S003,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S004,data/outputs/figures/relaxtime/xi_smoothness_sampling/S004,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S005,data/outputs/figures/relaxtime/xi_smoothness_sampling/S005,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S006,data/outputs/figures/relaxtime/xi_smoothness_sampling/S006,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S007,data/outputs/figures/relaxtime/xi_smoothness_sampling/S007,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S008,data/outputs/figures/relaxtime/xi_smoothness_sampling/S008,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S009,data/outputs/figures/relaxtime/xi_smoothness_sampling/S009,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S010,data/outputs/figures/relaxtime/xi_smoothness_sampling/S010,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S011,data/outputs/figures/relaxtime/xi_smoothness_sampling/S011,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S012,data/outputs/figures/relaxtime/xi_smoothness_sampling/S012,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S013,data/outputs/figures/relaxtime/xi_smoothness_sampling/S013,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S014,data/outputs/figures/relaxtime/xi_smoothness_sampling/S014,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S015,data/outputs/figures/relaxtime/xi_smoothness_sampling/S015,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S016,data/outputs/figures/relaxtime/xi_smoothness_sampling/S016,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S017,data/outputs/figures/relaxtime/xi_smoothness_sampling/S017,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S018,data/outputs/figures/relaxtime/xi_smoothness_sampling/S018,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S019,data/outputs/figures/relaxtime/xi_smoothness_sampling/S019,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S020,data/outputs/figures/relaxtime/xi_smoothness_sampling/S020,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S021,data/outputs/figures/relaxtime/xi_smoothness_sampling/S021,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S022,data/outputs/figures/relaxtime/xi_smoothness_sampling/S022,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S023,data/outputs/figures/relaxtime/xi_smoothness_sampling/S023,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S024,data/outputs/figures/relaxtime/xi_smoothness_sampling/S024,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S025,data/outputs/figures/relaxtime/xi_smoothness_sampling/S025,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S026,data/outputs/figures/relaxtime/xi_smoothness_sampling/S026,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S027,data/outputs/figures/relaxtime/xi_smoothness_sampling/S027,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S028,data/outputs/figures/relaxtime/xi_smoothness_sampling/S028,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S029,data/outputs/figures/relaxtime/xi_smoothness_sampling/S029,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S030,data/outputs/figures/relaxtime/xi_smoothness_sampling/S030,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S031,data/outputs/figures/relaxtime/xi_smoothness_sampling/S031,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S032,data/outputs/figures/relaxtime/xi_smoothness_sampling/S032,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
data/outputs/figures/relaxtime/xi_smoothness_sampling/S033,data/outputs/figures/relaxtime/xi_smoothness_sampling/S033,4,png,,,,legacy_unregistered,0,0,owner_review_only,"Is this group referenced by the current paper, supplement, report, or slides outside the repository?; Which case or variant is canonical if multiple renders exist?; Should any asset remain legacy, be quarantined, or be deleted in a later approved cleanup PR?"
