workflow_file,run_id,run_url,created_at,head_branch,head_sha,conclusion,artifact_count,unexpired_artifacts,expired_artifacts,artifact_names,retention_observation,provenance_note
pnjl-issue130-crossover-mu-endpoint-expansion.yml,32255786553,https://github.com/w5851/Julia_RelaxTime/actions/runs/32255786553,2026-08-19T13:01:37Z,main,78affa1e6439f02ca7f09fcd4180b3b71605d1fd,success,1,1,0,issue130-crossover-mu-endpoint-expansion-issue130_crossover_mu_endpoint_expansion_20260819-aggregate-replay,expires 2026-11-17,aggregate replay
pnjl-issue130-crossover-mu-endpoint-pilot.yml,32139943632,https://github.com/w5851/Julia_RelaxTime/actions/runs/32139943632,2026-08-18T13:00:53Z,main,dfecdd4c9139c856cfe3eb6659f492aabf8dea49,success,9,9,0,issue130-crossover-mu-endpoint-issue130_crossover_mu_endpoint_pilot_20260818-aggregate;issue130-crossover-mu-endpoint-crossover_xi_0p5_fraction_2-issue130_crossover_mu_endpoint_pilot_20260818;issue130-crossover-mu-endpoint-crossover_xi_0_fraction_2-issue130_crossover_mu_endpoint_pilot_20260818;issue130-crossover-mu-endpoint-crossover_xi_m0p5_fraction_2-issue130_crossover_mu_endpoint_pilot_20260818;issue130-crossover-mu-endpoint-crossover_xi_0_fraction_1-issue130_crossover_mu_endpoint_pilot_20260818;issue130-crossover-mu-endpoint-crossover_xi_m0p5_fraction_1-issue130_crossover_mu_endpoint_pilot_20260818;issue130-crossover-mu-endpoint-crossover_xi_0p2875_fraction_1-issue130_crossover_mu_endpoint_pilot_20260818;issue130-crossover-mu-endpoint-crossover_xi_0p5_fraction_1-issue130_crossover_mu_endpoint_pilot_20260818;issue130-crossover-mu-endpoint-crossover_xi_0p2875_fraction_2-issue130_crossover_mu_endpoint_pilot_20260818,expires 2026-11-16,aggregate plus eight xi/mode artifacts
pnjl-issue130-maxwell-cep-local-expansion.yml,32451053476,https://github.com/w5851/Julia_RelaxTime/actions/runs/32451053476,2026-08-21T05:34:36Z,codex/issue130-phase-reference-derived-v1,d9a52e6232d09695a83997cda2c11f6b00204587,success,1,1,0,issue130-maxwell-cep-local-expansion-issue130_maxwell_cep_local_expansion_v1-aggregate-replay,expires 2026-11-19,real Maxwell expansion replay
pnjl-issue130-maxwell-cep-local-pilot.yml,32237794907,https://github.com/w5851/Julia_RelaxTime/actions/runs/32237794907,2026-08-19T09:28:37Z,main,869e1f0f1ae5bd490cacfb6066fd27205f054100,success,1,1,0,issue130-maxwell-cep-local-pilot-issue130_maxwell_cep_local_pilot_aggregate_replay_v2_20260819,expires 2026-11-17,Maxwell pilot aggregate
pnjl-maxwell-endpoint-local-production-shadow-v4.yml,31714535418,https://github.com/w5851/Julia_RelaxTime/actions/runs/31714535418,2026-08-13T15:16:43Z,main,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,success,1,1,0,cep-maxwell-endpoint-local-production-shadow-cep_maxwell_endpoint_local_production_shadow_v4_full_replay_20260813-aggregate-replay,expires 2026-11-11,endpoint local replay
pnjl-maxwell-endpoint-production-shadow.yml,30999377195,https://github.com/w5851/Julia_RelaxTime/actions/runs/30999377195,2026-08-05T10:55:38Z,main,ceec2295c5c9250a3fcd45c0eceae9a6c35f4335,success,10,10,0,cep-maxwell-endpoint-production-shadow-cep_maxwell_endpoint_production_shadow_v3-aggregate;cep-maxwell-endpoint-production-shadow-independent_oracle-xi--0.5;cep-maxwell-endpoint-production-shadow-independent_oracle-xi-0.0;cep-maxwell-endpoint-production-shadow-production_hybrid-xi-0.0;cep-maxwell-endpoint-production-shadow-memoized_dense-xi-0.0;cep-maxwell-endpoint-production-shadow-memoized_dense-xi-0.5;cep-maxwell-endpoint-production-shadow-production_hybrid-xi--0.5;cep-maxwell-endpoint-production-shadow-memoized_dense-xi--0.5;cep-maxwell-endpoint-production-shadow-independent_oracle-xi-0.5;cep-maxwell-endpoint-production-shadow-production_hybrid-xi-0.5,expires 2026-09-04,all ten unexpired
pnjl-maxwell-endpoint-refinement.yml,30980094983,https://github.com/w5851/Julia_RelaxTime/actions/runs/30980094983,2026-08-05T06:03:57Z,main,df1fcdece7bc0888dd57c465c0015828743596c5,success,2,2,0,pnjl-maxwell-endpoint-refinement-pnjl_maxwell_endpoint_refinement_v1-aggregate;pnjl-maxwell-endpoint-refinement-pnjl_maxwell_endpoint_refinement_v1,expires 2026-11-03,two refinement artifacts
pnjl-stagec-density-certificate-feasibility-v2.yml,31315017019,https://github.com/w5851/Julia_RelaxTime/actions/runs/31315017019,2026-08-09T13:07:55Z,main,52620dffc5493375f74e26f9a7b1b22af6099ca2,success,1,1,0,stagec-density-certificate-v2-cep_hybrid_stagec_density_certificate_feasibility_v2_replay_r2-aggregate-replay,expires 2026-11-07,v2 aggregate replay
pnjl-stagec-density-certificate-feasibility.yml,31313661297,https://github.com/w5851/Julia_RelaxTime/actions/runs/31313661297,2026-08-09T12:35:17Z,main,d2097dec090dc8ba887cf25fdd62ea5b35cd604f,failure,0,0,0,,no artifact returned,failed run retained as diagnostic provenance
relaxtime-issue130-rs-numerical-pilot-v1.yml,32684074876,https://github.com/w5851/Julia_RelaxTime/actions/runs/32684074876,2026-08-24T02:44:50Z,main,27e9642d431ba7afd845f2b187f77c0fbbe3be4d,failure,1,1,0,issue130-rs-numerical-pilot-issue130_rs_numerical_pilot_v1_20260824,expires 2026-11-22,failed numerical pilot with retained artifact
